Gene_name,PB_id
ACAT1,SMP0000051
ACAT1,SMP0000071
ACAT1,SMP0000037
ACAT1,SMP0000032
ACAT1,SMP0000060
ACAT1,SMP0000173
ACAT1,SMP0000137
ACAT1,SMP0000236
ACAT1,SMP0000138
ACAT1,SMP0000199
ACAT1,SMP0000237
ACAT1,SMP0000139
ACAT1,SMP0000140
ACAT1,SMP0000384
ACAT1,SMP0000200
ACAT1,SMP0000238
ACAT1,SMP0000181
ACAT1,SMP0000185
ACAT1,SMP0000235
ACAT1,SMP0000186
ACAT1,SMP0000239
ACAT1,SMP0000196
ACAT1,SMP0000334
ACAT1,SMP0000212
ACAT1,SMP0000016
ACAT1,SMP0000480
ACAT1,SMP0000198
ACAT1,SMP0000201
ACAT1,SMP0000141
ACAT1,SMP0000502
ACAT1,SMP0000521
ACAT1,SMP0000522
ACAT1,SMP0000523
ACAT1,SMP0000524
ACAT1,SMP0000527
ACAT1,SMP0000528
ACAT1,SMP0000538
ACAT1,SMP0000539
ACAT1,SMP0000540
ACAT1,SMP0000541
ACAT1,SMP0000542
ACAT1,SMP0000545
ACAT1,SMP0000558
ACAT1,SMP0000559
ACAT1,SMP0000568
ACAT1,SMP0000569
ACAT1,SMP0000571
ACAT1,SMP0000719
Acat1,SMP0063589
Acat1,SMP0063603
Acat1,SMP0063631
Acat1,SMP0063635
Acat1,SMP0063639
Acat1,SMP0063640
Acat1,SMP0063641
Acat1,SMP0063656
Acat1,SMP0063661
Acat1,SMP0063689
ACAT1,SMP0087172
ACAT1,SMP0087185
ACAT1,SMP0087202
ACAT1,SMP0087203
ACAT1,SMP0087231
ACAT1,SMP0087234
ACAT1,SMP0087248
ACAT1,SMP0087265
Acat1,SMP0087280
Acat1,SMP0087287
Acat1,SMP0087299
Acat1,SMP0087300
Acat1,SMP0087325
Acat1,SMP0087327
Acat1,SMP0087341
Acat1,SMP0087358
Acat1,SMP0120439
Acat1,SMP0120440
Acat1,SMP0120441
Acat1,SMP0120442
Acat1,SMP0120443
Acat1,SMP0120444
Acat1,SMP0120459
Acat1,SMP0120476
Acat1,SMP0120484
Acat1,SMP0120503
Acat1,SMP0120506
Acat1,SMP0120514
Acat1,SMP0120516
Acat1,SMP0120520
Acat1,SMP0120523
Acat1,SMP0120525
Acat1,SMP0120526
Acat1,SMP0120528
Acat1,SMP0120531
Acat1,SMP0120533
Acat1,SMP0120537
Acat1,SMP0120567
Acat1,SMP0120586
Acat1,SMP0120587
Acat1,SMP0120588
Acat1,SMP0120589
Acat1,SMP0120592
Acat1,SMP0120593
Acat1,SMP0120603
Acat1,SMP0120604
Acat1,SMP0120605
Acat1,SMP0120606
Acat1,SMP0120607
Acat1,SMP0120609
Acat1,SMP0120622
Acat1,SMP0120623
Acat1,SMP0120632
Acat1,SMP0120633
Acat1,SMP0120635
Acat1,SMP0120651
Acat1,SMP0120660
Acat1,SMP0120661
Acat1,SMP0120662
Acat1,SMP0120663
Acat1,SMP0120664
Acat1,SMP0120665
Acat1,SMP0120679
Acat1,SMP0120696
Acat1,SMP0120704
Acat1,SMP0120723
Acat1,SMP0120726
Acat1,SMP0120734
Acat1,SMP0120736
Acat1,SMP0120740
Acat1,SMP0120743
Acat1,SMP0120745
Acat1,SMP0120746
Acat1,SMP0120748
Acat1,SMP0120751
Acat1,SMP0120753
Acat1,SMP0120757
Acat1,SMP0120786
Acat1,SMP0120805
Acat1,SMP0120806
Acat1,SMP0120807
Acat1,SMP0120808
Acat1,SMP0120811
Acat1,SMP0120812
Acat1,SMP0120822
Acat1,SMP0120823
Acat1,SMP0120824
Acat1,SMP0120825
Acat1,SMP0120826
Acat1,SMP0120828
Acat1,SMP0120841
Acat1,SMP0120842
Acat1,SMP0120851
Acat1,SMP0120852
Acat1,SMP0120854
Acat1,SMP0120870
ACAT1,SMP0121055
ACAT2,SMP0000023
ACAT2,SMP0000389
ACAT2,SMP0000387
ACAT2,SMP0000386
ACAT2,SMP0000388
ACAT2,SMP0000319
ACAT2,SMP0000079
ACAT2,SMP0000082
ACAT2,SMP0000089
ACAT2,SMP0000092
ACAT2,SMP0000095
ACAT2,SMP0000209
ACAT2,SMP0000099
ACAT2,SMP0000107
ACAT2,SMP0000111
ACAT2,SMP0000112
ACAT2,SMP0000117
ACAT2,SMP0000119
ACAT2,SMP0000131
ACAT2,SMP0000508
ACAT2,SMP0000509
ACAT2,SMP0000510
ACAT2,SMP0000511
Acat2,SMP0063639
Acat2,SMP0063640
Acat2,SMP0063670
Acat2,SMP0087326
Acat2,SMP0120464
Acat2,SMP0120465
Acat2,SMP0120472
Acat2,SMP0120512
Acat2,SMP0120515
Acat2,SMP0120549
Acat2,SMP0120573
Acat2,SMP0120574
Acat2,SMP0120575
Acat2,SMP0120576
Acat2,SMP0120684
Acat2,SMP0120685
Acat2,SMP0120692
Acat2,SMP0120732
Acat2,SMP0120735
Acat2,SMP0120769
Acat2,SMP0120792
Acat2,SMP0120793
Acat2,SMP0120794
Acat2,SMP0120795
ACC,SMP0087394
ACC,SMP0087402
ACC,SMP0087409
ACC1,SMP0002304
ACC1,SMP0002355
accA,SMP0000818
accA,SMP0000819
accA,SMP0000919
accA,SMP0002058
accA,SMP0002079
accA,SMP0002079
accA,SMP0121279
accA,SMP0121280
accA,SMP0121304
accA,SMP0122231
accA,SMP0122242
accA,SMP0122242
accB,SMP0000818
accB,SMP0000819
accB,SMP0000919
accB,SMP0002058
accB,SMP0002079
accB,SMP0002144
accB,SMP0121279
accB,SMP0121280
accB,SMP0121304
accB,SMP0122231
accB,SMP0122242
accC,SMP0000818
